01,Hokkaido Prefecture
02,Aomori Prefecture
03,Iwate Prefecture
04,Miyagi Prefecture
05,Akita Prefecture
06,Yamagata Prefecture
07,Fukushima Prefecture
08,Ibaraki Prefecture
09,Tochigi Prefecture
10,Gunma Prefecture
11,Saitama Prefecture
12,Chiba Prefecture
13,Tokyo Metropolis
14,Kanagawa Prefecture
15,Niigata Prefecture
16,Toyama Prefecture
17,Ishikawa Prefecture
18,Fukui Prefecture
19,Yamanashi Prefecture
20,Nagano Prefecture
21,Gifu Prefecture
22,Shizuoka Prefecture
23,Aichi Prefecture
24,Mie Prefecture
25,Shiga Prefecture
26,Kyoto Prefecture
27,Osaka Prefecture
28,Hyogo Prefecture
29,Nara Prefecture
30,Wakayama Prefecture
31,Tottori Prefecture
32,Shimane Prefecture
33,Okayama Prefecture
34,Hiroshima Prefecture
35,Yamaguchi Prefecture
36,Tokushima Prefecture
37,Kagawa Prefecture
38,Ehime Prefecture
39,Kochi Prefecture
40,Fukuoka Prefecture
41,Saga Prefecture
42,Nagasaki Prefecture
43,Kumamoto Prefecture
44,Oita Prefecture
45,Miyazaki Prefecture
46,Kagoshima Prefecture
47,Okinawa Prefecture
